Name,mode,label,scale,eta,validity,fid,sfid,is,precision,recall
guide_mode=classifier+scale=2.0+label=8,classifier,8,2,1,0.9976,22.58354913,41.13585284,1.425696254,0.845703125,0.531827515
guide_mode=classifier+scale=2.0+label=4,classifier,4,2,1,0.9971,18.72420807,41.84553924,1.613830924,0.829589844,0.631364562
guide_mode=classifier+scale=0.5+label=1,classifier,1,0.5,1,0.9292,10.4105765,20.43281717,1.685035467,0.768554688,0.786784141
guide_mode=classifier+scale=1.0+label=4,classifier,4,1,1,0.9932,11.7751727,27.52605915,1.631580114,0.803710938,0.693482688
guide_mode=classifier+scale=1.0+label=8,classifier,8,1,1,0.9888,12.50911993,28.83115293,1.447191834,0.828125,0.667351129
guide_mode=classifier+scale=1.0+label=1,classifier,1,1,1,0.9868,8.146957232,20.45294405,1.588499188,0.841796875,0.739207048
guide_mode=manifold+scale=20+label=4,manifold,4,20,1,0.9844,11.27771545,28.39424404,1.565447569,0.728027344,0.755600815
guide_mode=classifier+scale=2.0+label=6,classifier,6,2,1,0.9834,19.18679203,28.85978612,1.639851809,0.788574219,0.630480167
guide_mode=dynamic-nog-0.1+scale=100+label=4,dynamic-nog-0.1,4,100,1,0.9814,11.37118923,27.67684686,1.575608492,0.747558594,0.751527495
guide_mode=dynamic-fonly+scale=100+label=4,dynamic-fonly,4,100,1,0.9805,11.7003074,28.21004964,1.574166417,0.735839844,0.737270876
guide_mode=dynamic-nog-0.5*a+scale=100+label=4,dynamic-nog-0.5*a,4,100,1,0.9795,11.09088503,26.61484469,1.581266522,0.735351563,0.753564155
guide_mode=dynamic-two-0.1*a*(1-a)+scale=100+label=4,dynamic-two-0.1*a*(1-a),4,100,1,0.979,11.2801231,27.90331311,1.572520256,0.732910156,0.769857434
guide_mode=dynamic-one-0.1*(1-a)+scale=100+label=4,dynamic-one-0.1*(1-a),4,100,1,0.9785,32.04419788,66.27050487,1.722495079,0.227050781,0.720977597
guide_mode=dynamic-nog-0.5+scale=100+label=4,dynamic-nog-0.5,4,100,1,0.9785,11.09772231,27.42598686,1.558021903,0.745117188,0.759674134
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=100+label=4,dynamic-two-0.5*a-0.5*(1-a),4,100,1,0.978,11.29625339,27.03955627,1.575887203,0.702148438,0.804480652
guide_mode=dynamic-one-0.5*(1-a)+scale=100+label=4,dynamic-one-0.5*(1-a),4,100,1,0.9766,33.93324314,68.88273493,1.747805119,0.188964844,0.6598778
guide_mode=manifold+scale=50+label=4,manifold,4,50,1,0.9766,15.12856125,31.79173267,1.617807627,0.654296875,0.755600815
guide_mode=dynamic-two-0.5*a*(1-a)+scale=100+label=4,dynamic-two-0.5*a*(1-a),4,100,1,0.9766,11.21463658,28.1125014,1.559855103,0.737792969,0.769857434
guide_mode=dynamic-one-0.1*(1-a)+scale=50+label=4,dynamic-one-0.1*(1-a),4,50,1,0.9751,31.36481612,64.16222595,1.774160385,0.257324219,0.697556008
guide_mode=dynamic-one-0.1*(1-a)+scale=50+label=4,dynamic-one-0.1*(1-a),4,50,1,0.9751,31.36481612,64.16222595,1.774160385,0.257324219,0.697556008
guide_mode=dynamic-nog-0.1*a+scale=100+label=4,dynamic-nog-0.1*a,4,100,1,0.9717,11.2065964,26.98756922,1.580064535,0.737304688,0.733197556
guide_mode=dynamic-nog-0.5+scale=50+label=4,dynamic-nog-0.5,4,50,1,0.9707,10.90586304,28.00880954,1.597252607,0.748535156,0.743380855
guide_mode=dynamic-nog-0.5*a+scale=50+label=4,dynamic-nog-0.5*a,4,50,1,0.9663,10.86249878,26.87029606,1.614187002,0.729003906,0.762729124
guide_mode=dynamic-one-0.5*(1-a)+scale=50+label=4,dynamic-one-0.5*(1-a),4,50,1,0.9648,32.61308113,66.32792639,1.789206028,0.208007813,0.694501018
guide_mode=dynamic-nog-0.1*a+scale=50+label=4,dynamic-nog-0.1*a,4,50,1,0.9648,10.89345273,27.65276987,1.609080791,0.732910156,0.782077393
guide_mode=dynamic-two-0.1*a-0.1*(1-a)+scale=50+label=4,dynamic-two-0.1*a-0.1*(1-a),4,50,1,0.9644,10.51928366,27.3476245,1.606145263,0.734375,0.759674134
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=50+label=4,dynamic-two-0.5*a-0.5*(1-a),4,50,1,0.9644,10.40893,27.08357422,1.599231124,0.724609375,0.816700611
guide_mode=classifier+scale=0.5+label=8,classifier,8,0.5,1,0.9639,8.284381828,23.89500349,1.539331913,0.795410156,0.755646817
guide_mode=dynamic-two-0.1*a*(1-a)+scale=50+label=4,dynamic-two-0.1*a*(1-a),4,50,1,0.9619,10.84339315,27.90504793,1.59082675,0.731933594,0.779022403
guide_mode=manifold+scale=50+label=6,manifold,6,50,1,0.9614,13.97965591,27.35387338,1.677865028,0.676757813,0.796450939
guide_mode=dynamic-fonly+scale=50+label=4,dynamic-fonly,4,50,1,0.9614,11.318194,28.21787164,1.596089721,0.725585938,0.781059063
guide_mode=dynamic-nog-0.5+scale=100+label=6,dynamic-nog-0.5,6,100,1,0.9614,11.49038637,22.99322967,1.641502023,0.756835938,0.729645094
guide_mode=dynamic-two-0.5*a*(1-a)+scale=50+label=4,dynamic-two-0.5*a*(1-a),4,50,1,0.96,10.54699404,28.09068429,1.595271945,0.740234375,0.771894094
guide_mode=classifier+scale=0.5+label=4,classifier,4,0.5,1,0.96,8.379709428,22.00347992,1.696374416,0.745117188,0.796334012
guide_mode=dynamic-one-0.5*(1-a)+scale=100+label=6,dynamic-one-0.5*(1-a),6,100,1,0.959,32.19901876,65.68016159,1.715449452,0.211425781,0.677453027
guide_mode=dynamic-nog-0.1+scale=50+label=4,dynamic-nog-0.1,4,50,1,0.9585,10.62948206,27.50195856,1.600651383,0.745117188,0.753564155
guide_mode=dynamic-one-0.1*(1-a)+scale=100+label=6,dynamic-one-0.1*(1-a),6,100,1,0.9575,33.12624623,63.77379948,1.742823362,0.253417969,0.745302714
guide_mode=dynamic-fonly+scale=100+label=6,dynamic-fonly,6,100,1,0.9565,12.21387114,25.46711327,1.663692951,0.707519531,0.752609603
guide_mode=dynamic-nog-0.1+scale=100+label=8,dynamic-nog-0.1,8,100,1,0.9561,13.14486468,32.64376558,1.575729251,0.651367188,0.776180698
guide_mode=dynamic-one-0.1*(1-a)+scale=100+label=8,dynamic-one-0.1*(1-a),8,100,1,0.9551,28.96786981,68.94154718,1.631906033,0.206054688,0.685831622
guide_mode=dynamic-nog-0.5*a+scale=100+label=6,dynamic-nog-0.5*a,6,100,1,0.9551,11.69836022,23.31359342,1.678031683,0.71875,0.741127349
guide_mode=classifier+scale=1.0+label=6,classifier,6,1,1,0.9546,11.84617583,26.00239485,1.659953952,0.737792969,0.725469729
guide_mode=dynamic-fonly+scale=100+label=8,dynamic-fonly,8,100,1,0.9546,13.23995933,33.10455275,1.581128359,0.661621094,0.77412731
guide_mode=dynamic-one-0.5*(1-a)+scale=100+label=8,dynamic-one-0.5*(1-a),8,100,1,0.9541,29.26958052,70.76602288,1.643251538,0.208007813,0.668377823
guide_mode=dynamic-two-0.5*a*(1-a)+scale=100+label=6,dynamic-two-0.5*a*(1-a),6,100,1,0.9541,11.30811819,24.34508772,1.685463428,0.714355469,0.774530271
guide_mode=manifold+scale=20+label=8,manifold,8,20,1,0.9536,13.11145046,31.65912478,1.585771203,0.652832031,0.790554415
guide_mode=dynamic-two-0.1*a*(1-a)+scale=100+label=6,dynamic-two-0.1*a*(1-a),6,100,1,0.9536,11.78712275,24.96444469,1.680710316,0.711914063,0.768267223
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=100+label=6,dynamic-two-0.5*a-0.5*(1-a),6,100,1,0.9531,11.71470366,23.77286433,1.707725763,0.674316406,0.770354906
guide_mode=dynamic-two-0.1*a*(1-a)+scale=100+label=8,dynamic-two-0.1*a*(1-a),8,100,1,0.9526,13.1618178,32.88222991,1.589046836,0.654296875,0.798767967
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=100+label=8,dynamic-two-0.5*a-0.5*(1-a),8,100,1,0.9492,13.97632611,33.86592725,1.599075198,0.641113281,0.797741273
guide_mode=dynamic-nog-0.1+scale=100+label=6,dynamic-nog-0.1,6,100,1,0.9487,11.88780647,24.39250283,1.671674371,0.72265625,0.751565762
guide_mode=dynamic-nog-0.1*a+scale=100+label=6,dynamic-nog-0.1*a,6,100,1,0.9482,11.99240472,24.20300941,1.696514845,0.71875,0.771398747
guide_mode=manifold+scale=20+label=6,manifold,6,20,1,0.9478,12.243475,25.76091437,1.672724247,0.716796875,0.750521921
guide_mode=dynamic-nog-0.5+scale=100+label=8,dynamic-nog-0.5,8,100,1,0.9463,13.08133371,31.3155225,1.555183768,0.65234375,0.773100616
guide_mode=classifier+scale=2.0+label=1,classifier,1,2,1,0.9961,9.440382437,26.06985718,1.525347829,0.860839844,0.705726872
guide_mode=dynamic-two-0.5*a*(1-a)+scale=100+label=8,dynamic-two-0.5*a*(1-a),8,100,1,0.9458,13.1250474,33.03850913,1.58716917,0.658691406,0.793634497
guide_mode=dynamic-fonly+scale=20+label=1,dynamic-fonly,1,20,1,0.7915,33.87022623,48.33715382,1.907645822,0.655273438,0.777092511
guide_mode=dynamic-fonly+scale=50+label=1,dynamic-fonly,1,50,1,0.9014,27.83934827,40.14905014,1.84516263,0.734863281,0.765638767
guide_mode=dynamic-nog-0.1*a+scale=100+label=8,dynamic-nog-0.1*a,8,100,1,0.9443,13.40101755,32.25643526,1.589057207,0.65625,0.777207392
guide_mode=dynamic-fonly+scale=100+label=1,dynamic-fonly,1,100,1,0.9263,33.57725682,44.92460575,1.842744827,0.72265625,0.740969163
guide_mode=dynamic-nog-0.5*a+scale=100+label=8,dynamic-nog-0.5*a,8,100,1,0.9424,13.18295064,32.41454545,1.588711619,0.654785156,0.755646817
guide_mode=dynamic-two-0.1*a*(1-a)+scale=50+label=8,dynamic-two-0.1*a*(1-a),8,50,1,0.9399,12.83589876,30.36818291,1.586971521,0.678710938,0.772073922
guide_mode=dynamic-one-0.5*(1-a)+scale=50+label=8,dynamic-one-0.5*(1-a),8,50,1,0.9399,27.60877313,65.37937183,1.665452242,0.228515625,0.728952772
guide_mode=dynamic-one-0.1*(1-a)+scale=50+label=8,dynamic-one-0.1*(1-a),8,50,1,0.938,27.40000121,62.61386492,1.658927917,0.23828125,0.757700205
guide_mode=dynamic-one-0.1*(1-a)+scale=50+label=8,dynamic-one-0.1*(1-a),8,50,1,0.938,27.40000121,62.61386492,1.658927917,0.23828125,0.757700205
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=50+label=8,dynamic-two-0.5*a-0.5*(1-a),8,50,1,0.9355,12.1037379,30.28129937,1.605468631,0.653808594,0.792607803
guide_mode=dynamic-full-0.1*a*(1-a)+scale=20+label=1,dynamic-full-0.1*a*(1-a),1,20,1,0.1162,123.6385956,141.348779,2.039614916,0.212402344,0.776211454
guide_mode=dynamic-full-0.1*a*(1-a)+scale=50+label=1,dynamic-full-0.1*a*(1-a),1,50,1,0.1196,122.5836679,140.5339871,2.043821096,0.215820313,0.793832599
guide_mode=dynamic-fonly+scale=50+label=8,dynamic-fonly,8,50,1,0.9346,12.64934512,30.62791152,1.601018429,0.670410156,0.764887064
guide_mode=dynamic-nog-0.5+scale=50+label=8,dynamic-nog-0.5,8,50,1,0.9321,12.77142147,29.48429935,1.618070006,0.672851563,0.735112936
guide_mode=dynamic-full-0.1*a*(1-a)+scale=100+label=1,dynamic-full-0.1*a*(1-a),1,100,1,0.1299,120.5294405,138.891729,2.043849945,0.225585938,0.808810573
guide_mode=manifold+scale=5+label=4,manifold,4,5,1,0.9316,11.60484904,29.44506905,1.688100219,0.679199219,0.811608961
guide_mode=dynamic-two-0.5*a*(1-a)+scale=50+label=8,dynamic-two-0.5*a*(1-a),8,50,1,0.9292,12.20642362,30.5875777,1.619899273,0.673828125,0.785420945
guide_mode=dynamic-full-0.5*a*(1-a)+scale=20+label=1,dynamic-full-0.5*a*(1-a),1,20,1,0.1304,119.9334033,138.8806219,2.040707588,0.223144531,0.83876652
guide_mode=dynamic-full-0.5*a*(1-a)+scale=50+label=1,dynamic-full-0.5*a*(1-a),1,50,1,0.1597,114.6732875,135.0402441,2.047558069,0.247558594,0.821145374
guide_mode=dynamic-full-0.5*a*(1-a)+scale=100+label=1,dynamic-full-0.5*a*(1-a),1,100,1,0.2207,105.1271327,129.1240225,2.086621523,0.278808594,0.866079295
guide_mode=dynamic-nog-0.1+scale=20+label=1,dynamic-nog-0.1,1,20,1,0.8003,33.15529099,45.20612305,1.892770648,0.663085938,0.749779736
guide_mode=dynamic-nog-0.1+scale=50+label=1,dynamic-nog-0.1,1,50,1,0.9194,27.29999514,38.21296079,1.812231183,0.730957031,0.747136564
guide_mode=dynamic-one-0.1*(1-a)+scale=50+label=6,dynamic-one-0.1*(1-a),6,50,1,0.9263,32.86044441,63.47398861,1.734439135,0.263183594,0.731732777
guide_mode=dynamic-nog-0.1+scale=100+label=1,dynamic-nog-0.1,1,100,1,0.9248,31.94901143,42.66653359,1.828802228,0.73046875,0.76123348
guide_mode=manifold+scale=50+label=8,manifold,8,50,1,0.9263,22.12852533,51.84908756,1.599023342,0.514160156,0.820328542
guide_mode=dynamic-nog-0.1*a+scale=20+label=1,dynamic-nog-0.1*a,1,20,1,0.7969,33.0662141,45.91365381,1.921710968,0.648925781,0.765638767
guide_mode=dynamic-nog-0.5*a+scale=50+label=6,dynamic-nog-0.5*a,6,50,1,0.9253,12.27474732,24.95616613,1.68790102,0.712890625,0.767223382
guide_mode=dynamic-nog-0.1*a+scale=50+label=1,dynamic-nog-0.1*a,1,50,1,0.9053,28.569358,40.06613534,1.859403372,0.717773438,0.765638767
guide_mode=dynamic-nog-0.5+scale=50+label=6,dynamic-nog-0.5,6,50,1,0.9243,12.26154261,24.37811205,1.702786326,0.735839844,0.786012526
guide_mode=dynamic-two-0.1*a-0.1*(1-a)+scale=50+label=8,dynamic-two-0.1*a-0.1*(1-a),8,50,1,0.9243,12.58835389,30.32095741,1.587723851,0.680664063,0.777207392
guide_mode=dynamic-nog-0.1*a+scale=50+label=8,dynamic-nog-0.1*a,8,50,1,0.9243,12.56470541,29.71931971,1.577663183,0.6953125,0.76386037
guide_mode=dynamic-two-0.1*a*(1-a)+scale=50+label=6,dynamic-two-0.1*a*(1-a),6,50,1,0.9233,12.22877171,25.9938531,1.690244317,0.693359375,0.774530271
guide_mode=dynamic-nog-0.1*a+scale=100+label=1,dynamic-nog-0.1*a,1,100,1,0.9263,33.13152216,44.6408947,1.811644435,0.731445313,0.76123348
guide_mode=dynamic-nog-0.1+scale=50+label=8,dynamic-nog-0.1,8,50,1,0.9209,12.81333263,30.12318442,1.603574991,0.688476563,0.77412731
guide_mode=dynamic-two-0.5*a*(1-a)+scale=50+label=6,dynamic-two-0.5*a*(1-a),6,50,1,0.9204,11.99727193,25.99268369,1.691398859,0.703125,0.779749478
guide_mode=dynamic-fonly+scale=50+label=6,dynamic-fonly,6,50,1,0.9204,12.42167259,26.057068,1.717601776,0.697265625,0.776617954
guide_mode=dynamic-nog-0.5+scale=20+label=1,dynamic-nog-0.5,1,20,1,0.8174,29.57604096,39.76404813,1.907901287,0.689941406,0.760352423
guide_mode=dynamic-nog-0.5*a+scale=50+label=8,dynamic-nog-0.5*a,8,50,1,0.917,12.56959064,29.78169381,1.599508405,0.688964844,0.785420945
guide_mode=dynamic-one-0.5*(1-a)+scale=50+label=6,dynamic-one-0.5*(1-a),6,50,1,0.9165,32.56639776,66.27116515,1.792131662,0.215820313,0.674321503
guide_mode=dynamic-nog-0.1*a+scale=50+label=6,dynamic-nog-0.1*a,6,50,1,0.9165,12.52670669,25.98740045,1.712402225,0.690917969,0.802713987
guide_mode=dynamic-two-0.1*a-0.1*(1-a)+scale=50+label=6,dynamic-two-0.1*a-0.1*(1-a),6,50,1,0.916,12.14929744,26.04157974,1.710102081,0.704101563,0.791231733
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=50+label=6,dynamic-two-0.5*a-0.5*(1-a),6,50,1,0.9146,12.14786935,26.19771739,1.74452877,0.674804688,0.774530271
guide_mode=dynamic-nog-0.5+scale=50+label=1,dynamic-nog-0.5,1,50,1,0.9097,25.08120942,34.06241318,1.791298389,0.739746094,0.753303965
guide_mode=dynamic-nog-0.1+scale=50+label=6,dynamic-nog-0.1,6,50,1,0.9116,12.54913127,26.07910755,1.705324531,0.704589844,0.769311065
guide_mode=dynamic-nog-0.5+scale=100+label=1,dynamic-nog-0.5,1,100,1,0.9463,29.45003751,38.35709119,1.813928127,0.763183594,0.758590308
guide_mode=dynamic-nog-0.5*a+scale=20+label=1,dynamic-nog-0.5*a,1,20,1,0.8052,32.39381251,44.71621163,1.91699636,0.645507813,0.777092511
guide_mode=dynamic-nog-0.5*a+scale=50+label=1,dynamic-nog-0.5*a,1,50,1,0.9009,28.10785693,38.54005423,1.832158327,0.73046875,0.748017621
guide_mode=dynamic-nog-0.5*a+scale=100+label=1,dynamic-nog-0.5*a,1,100,1,0.9214,33.56171,43.39546001,1.84491694,0.737792969,0.774449339
guide_mode=dynamic-one-0.1*(1-a)+scale=20+label=1,dynamic-one-0.1*(1-a),1,20,1,0.8223,46.0645206,104.9475056,1.995634913,0.204589844,0.840528634
guide_mode=dynamic-one-0.1*(1-a)+scale=50+label=1,dynamic-one-0.1*(1-a),1,50,1,0.9277,40.61364356,102.888463,1.890298247,0.194824219,0.796475771
guide_mode=dynamic-one-0.1*(1-a)+scale=100+label=1,dynamic-one-0.1*(1-a),1,100,1,0.9448,46.64598872,111.0759652,1.897248507,0.192382813,0.758590308
guide_mode=manifold+scale=5+label=8,manifold,8,5,1,0.8955,14.11744975,32.70224024,1.668490052,0.639160156,0.799794661
guide_mode=dynamic-two-0.5*a*(1-a)+scale=20+label=4,dynamic-two-0.5*a*(1-a),4,20,1,0.8862,11.94254216,30.23588541,1.700887322,0.664550781,0.818737271
guide_mode=dynamic-one-0.5*(1-a)+scale=20+label=4,dynamic-one-0.5*(1-a),4,20,1,0.8862,34.95544981,67.4395025,1.826671839,0.207519531,0.717922607
guide_mode=classifier+scale=0.5+label=6,classifier,6,0.5,1,0.8828,10.08957042,26.97548445,1.727652431,0.674804688,0.772442589
guide_mode=dynamic-fonly+scale=20+label=4,dynamic-fonly,4,20,1,0.8823,12.58512306,30.79947008,1.692695737,0.66796875,0.802443992
guide_mode=dynamic-two-0.1*a-0.1*(1-a)+scale=20+label=4,dynamic-two-0.1*a-0.1*(1-a),4,20,1,0.8823,12.28555468,30.32622675,1.706171155,0.671386719,0.801425662
guide_mode=dynamic-nog-0.5+scale=20+label=4,dynamic-nog-0.5,4,20,1,0.8813,12.54989606,30.30687794,1.688954115,0.691894531,0.771894094
guide_mode=dynamic-nog-0.1+scale=20+label=4,dynamic-nog-0.1,4,20,1,0.8804,12.29515598,30.16606839,1.699414611,0.669433594,0.804480652
guide_mode=dynamic-nog-0.1*a+scale=20+label=4,dynamic-nog-0.1*a,4,20,1,0.8794,12.26560541,30.09341198,1.710458636,0.673828125,0.796334012
guide_mode=dynamic-one-0.1*(1-a)+scale=20+label=4,dynamic-one-0.1*(1-a),4,20,1,0.8779,33.1443675,63.17850443,1.856503725,0.256835938,0.760692464
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=20+label=4,dynamic-two-0.5*a-0.5*(1-a),4,20,1,0.876,11.87085308,29.20764725,1.702969551,0.64453125,0.819755601
guide_mode=dynamic-nog-0.5*a+scale=20+label=4,dynamic-nog-0.5*a,4,20,1,0.8745,12.59313209,29.85416544,1.689016461,0.673828125,0.785132383
guide_mode=dynamic-two-0.1*a*(1-a)+scale=20+label=4,dynamic-two-0.1*a*(1-a),4,20,1,0.874,12.36587774,30.70945655,1.712397933,0.662597656,0.820773931
guide_mode=dynamic-fonly+scale=20+label=8,dynamic-fonly,8,20,1,0.8491,14.90514664,33.24877638,1.688289046,0.626464844,0.798767967
